row_id,issue
202,last_review_date missing/unparseable
203,Missing booking_url
203,last_review_date missing/unparseable
204,Missing booking_url
204,last_review_date missing/unparseable
205,Missing booking_url
205,last_review_date missing/unparseable
205,Duplicate email
205,Duplicate domain
206,Missing booking_url
206,last_review_date missing/unparseable
207,Missing booking_url
207,last_review_date missing/unparseable
208,Missing booking_url
208,last_review_date missing/unparseable
209,Missing booking_url
209,last_review_date missing/unparseable
210,Missing booking_url
210,last_review_date missing/unparseable
211,Missing booking_url
211,last_review_date missing/unparseable
212,Website missing
212,Missing booking_url
212,last_review_date missing/unparseable
212,Duplicate email
213,Website missing
213,Missing booking_url
213,last_review_date missing/unparseable
214,Missing booking_url
214,last_review_date missing/unparseable
215,Missing booking_url
215,last_review_date missing/unparseable
216,Missing booking_url
216,last_review_date missing/unparseable
217,Website missing
217,Missing booking_url
217,last_review_date missing/unparseable
218,Missing booking_url
218,last_review_date missing/unparseable
219,Missing booking_url
219,last_review_date missing/unparseable
220,Missing booking_url
220,last_review_date missing/unparseable
221,Missing booking_url
221,last_review_date missing/unparseable
222,Missing booking_url
222,last_review_date missing/unparseable
222,Duplicate email
223,Website missing
223,Missing booking_url
223,last_review_date missing/unparseable
223,Duplicate email
224,Missing booking_url
224,last_review_date missing/unparseable
225,Missing booking_url
225,last_review_date missing/unparseable
226,Missing booking_url
226,last_review_date missing/unparseable
226,Duplicate email
227,Missing booking_url
227,last_review_date missing/unparseable
228,Website missing
228,Missing booking_url
228,last_review_date missing/unparseable
229,Missing booking_url
229,last_review_date missing/unparseable
230,Missing booking_url
230,last_review_date missing/unparseable
231,Missing booking_url
231,last_review_date missing/unparseable
231,Duplicate email
232,Missing booking_url
232,last_review_date missing/unparseable
233,Missing booking_url
233,last_review_date missing/unparseable
234,Missing booking_url
234,last_review_date missing/unparseable
235,Missing booking_url
235,last_review_date missing/unparseable
236,Missing booking_url
236,last_review_date missing/unparseable
237,Missing booking_url
237,last_review_date missing/unparseable
238,Missing booking_url
238,last_review_date missing/unparseable
239,Missing booking_url
239,last_review_date missing/unparseable
240,Missing booking_url
240,last_review_date missing/unparseable
241,Missing booking_url
241,last_review_date missing/unparseable
242,Missing booking_url
242,last_review_date missing/unparseable
243,Missing booking_url
243,last_review_date missing/unparseable
244,Missing booking_url
244,last_review_date missing/unparseable
244,Duplicate email
244,Duplicate domain
244,Duplicate phone
245,Missing booking_url
245,last_review_date missing/unparseable
246,Missing booking_url
246,last_review_date missing/unparseable
247,Missing booking_url
247,last_review_date missing/unparseable
248,Missing booking_url
248,last_review_date missing/unparseable
249,Website missing
249,Missing booking_url
249,last_review_date missing/unparseable
250,Missing booking_url
250,last_review_date missing/unparseable
251,Missing booking_url
251,last_review_date missing/unparseable
252,Missing booking_url
252,last_review_date missing/unparseable
253,Missing booking_url
253,last_review_date missing/unparseable
254,Missing booking_url
254,last_review_date missing/unparseable
255,Missing booking_url
255,last_review_date missing/unparseable
256,Missing booking_url
256,last_review_date missing/unparseable
257,Missing booking_url
257,last_review_date missing/unparseable
258,Missing booking_url
258,last_review_date missing/unparseable
259,Missing booking_url
259,last_review_date missing/unparseable
260,Website missing
260,Missing booking_url
260,last_review_date missing/unparseable
261,Missing booking_url
261,last_review_date missing/unparseable
262,Missing booking_url
262,last_review_date missing/unparseable
263,Missing booking_url
263,last_review_date missing/unparseable
264,Missing booking_url
264,last_review_date missing/unparseable
265,Missing booking_url
265,last_review_date missing/unparseable
266,Missing booking_url
266,last_review_date missing/unparseable
267,Missing booking_url
267,last_review_date missing/unparseable
268,Missing booking_url
268,last_review_date missing/unparseable
269,Missing booking_url
269,last_review_date missing/unparseable
270,Missing booking_url
270,last_review_date missing/unparseable
271,Missing booking_url
271,last_review_date missing/unparseable
272,Missing booking_url
272,last_review_date missing/unparseable
273,Missing booking_url
273,last_review_date missing/unparseable
274,Website missing
